deck1,deck2,deck3,deck4,outcome
283,164,58,32,0
147,267,255,303,0
164,267,164,283,4
164,157,188,287,1
164,58,241,164,3
164,241,118,188,0
277,297,183,141,0
272,243,169,303,4
219,243,110,243,1
283,164,267,157,4
277,147,164,243,2
164,287,272,283,3
188,164,169,321,2
303,164,164,267,4
164,255,58,164,1
297,241,110,32,4
219,141,118,58,2
164,243,283,164,1
169,183,147,157,1
243,243,303,283,0
277,267,118,164,1
32,164,272,188,0
58,188,303,297,1
164,110,241,141,2
58,241,219,287,0
157,183,243,267,0
283,243,164,283,1
267,164,157,243,1
261,183,164,157,2
303,141,142,259,0
306,94,147,310,3
259,310,287,164,0
141,94,203,318,0
157,269,310,261,3
318,147,310,259,1
183,203,269,94,1
303,141,203,164,0
58,169,243,164,2
321,78,339,169,0
243,164,58,58,1
267,10,241,310,4
147,183,310,305,4
78,60,267,78,0
305,164,10,78,1
310,164,267,310,4
78,267,147,94,0
60,60,110,303,4
243,60,310,78,3
147,305,110,164,1
267,267,147,267,2
94,303,241,183,4
183,147,110,267,0
60,78,310,267,1
164,94,78,243,0
305,321,241,60,2
232,241,147,147,4
179,283,239,241,4
276,272,150,305,1
147,183,272,179,2
276,241,283,303,0
276,287,150,147,3
241,303,186,272,4
147,232,276,243,4
185,241,183,239,0
183,147,147,241,2
305,147,239,303,2
147,241,232,150,1
243,276,287,303,0
186,272,243,241,2
78,18,141,246,0
164,141,149,267,0
192,305,115,164,1
243,243,13,211,2
78,164,13,305,1
163,163,109,305,2
37,188,157,163,1
141,305,179,164,3
164,188,109,188,1
232,287,243,163,4
303,342,163,141,4
345,321,320,149,4
180,141,321,163,0
345,141,287,243,3
320,342,287,232,2
180,345,303,232,3
287,149,141,141,1
163,163,287,232,0
232,180,243,149,3
341,328,208,323,1
259,329,329,93,2
241,163,92,141,0
160,163,243,214,4
303,147,147,272,4
160,272,163,287,4
163,232,163,239,3
163,243,203,272,1
239,287,160,303,1
147,160,118,163,4
58,185,163,163,2
214,163,147,232,2
241,241,58,160,0
272,221,185,163,4
147,243,241,239,4
160,232,160,185,0
163,241,221,163,1
147,118,287,160,0
147,163,147,239,0
163,87,163,163,0
303,147,163,243,3
141,305,147,147,4
305,147,243,303,3
303,197,163,303,1
142,159,241,147,3
303,141,163,147,0
147,197,147,163,4
303,243,305,142,1
147,303,159,163,0
163,147,243,303,1
163,305,241,87,4
243,147,303,197,4
87,142,147,147,4
241,163,163,141,4
147,163,159,303,3
163,243,305,303,3
305,147,303,163,4
147,163,303,303,4
163,147,305,243,3
147,303,303,87,4
147,305,197,241,4
243,142,141,163,3
147,163,163,159,0
197,147,147,303,1
243,303,147,147,0
243,147,210,303,0
188,321,163,163,4
241,147,147,232,2
123,321,114,313,1
315,188,243,321,2
188,163,147,163,1
214,147,241,297,3
321,140,297,243,4
210,147,163,123,3
114,147,211,188,4
232,163,313,321,0
232,163,163,243,2
321,303,211,321,1
241,140,210,114,2
147,214,188,313,2
188,163,315,147,1
163,303,321,188,0
297,243,163,123,0
72,96,157,163,4
127,276,163,243,3
147,321,185,303,3
267,93,283,227,0
147,147,163,147,2
147,149,58,157,2
243,303,224,96,0
267,163,147,147,1
185,163,93,243,0
147,326,283,127,4
58,163,227,185,2
243,163,267,149,2
147,96,243,147,1
321,147,127,93,3
303,147,267,58,4
163,93,276,243,0
147,127,163,157,2
243,149,243,321,0
163,243,58,243,2
185,163,147,96,0
227,267,185,58,3
267,60,276,141,0
303,243,163,321,0
205,301,115,321,1
163,290,321,303,4
243,303,264,211,3
267,303,290,115,1
163,264,290,267,4
115,267,303,157,4
290,243,158,60,0
301,329,290,267,2
321,243,60,211,2
163,310,243,115,1
157,163,243,163,4
301,290,310,303,2
272,243,303,166,1
141,58,163,232,3
163,243,243,321,4
147,321,163,147,0
147,141,13,163,2
166,141,10,247,2
141,243,183,310,2
93,243,13,243,1
163,10,183,303,3
141,147,243,141,1
227,272,147,321,2
243,243,232,141,0
183,147,147,243,2
303,10,232,13,3
147,243,163,243,1
241,190,281,244,3
163,13,78,185,0
87,147,294,98,2
157,185,78,287,0
303,93,204,236,4
241,287,294,93,4
236,205,147,185,1
185,192,157,303,4
93,204,281,163,4
78,78,87,190,1
244,294,163,205,0
236,157,241,93,4
281,93,185,78,1
190,204,147,13,0
98,185,192,78,0
303,244,78,93,0
205,98,157,93,1
236,287,163,190,2
13,192,241,87,3
163,303,93,78,3
205,98,157,87,1
244,294,98,78,0
241,232,147,208,0
243,282,303,196,4
188,232,147,267,0
303,232,163,60,2
303,163,109,305,4
310,303,141,303,4
297,18,163,321,4
310,163,303,163,4
123,243,163,18,4
243,243,241,267,1
163,321,163,214,4
147,303,18,18,4
163,282,310,123,4
163,230,163,109,1
310,303,159,163,1
305,163,147,196,1
188,267,147,232,0
208,310,147,303,1
303,163,188,147,0
310,230,243,163,2
232,297,188,241,1
163,163,18,303,3
214,303,303,123,1
310,267,196,109,4
305,159,163,282,1
60,147,321,147,0
147,232,267,303,3
297,141,163,230,1
303,147,159,163,1
241,188,60,310,4
18,196,232,163,2
163,123,303,188,3
321,303,282,267,3
163,310,147,147,2
267,163,208,163,4
147,232,232,305,0
147,303,141,243,4
267,303,188,303,4
310,159,297,303,0
303,60,163,163,4
163,310,147,241,0
303,18,214,109,1
163,163,196,208,4
243,267,18,305,4
123,163,321,232,3
147,310,303,310,1
303,141,243,310,2
147,337,267,61,4
232,164,243,232,0
164,141,287,267,1
147,4,164,83,2
164,164,151,267,4
291,61,232,164,3
243,287,303,164,4
267,4,164,243,2
164,203,151,164,0
232,337,164,147,4
303,141,267,94,3
291,147,164,303,2
94,164,147,243,1
4,203,337,164,1
61,232,151,141,2
164,164,303,164,1
192,147,83,287,4
267,164,232,164,4
303,151,243,4,3
303,61,94,83,2
243,164,141,337,3
337,164,4,232,2
203,151,164,267,2
164,94,4,164,1
185,321,28,303,4
163,147,78,163,4
310,336,310,66,4
83,147,152,188,0
141,310,163,141,1
243,94,142,87,3
243,185,69,78,1
203,192,87,109,4
147,163,303,109,3
321,163,87,83,1
185,185,310,203,1
78,87,28,192,0
66,69,310,147,0
163,188,94,310,4
142,336,141,243,4
147,141,78,243,1
78,66,109,185,1
152,163,141,147,1
310,87,310,83,2
192,147,336,321,4
310,142,188,87,4
185,163,163,243,1
203,28,243,141,1
303,69,147,94,1
310,28,185,163,1
78,163,152,66,1
83,147,69,78,1
109,87,336,141,2
142,147,310,203,1
185,87,94,141,2
243,321,310,147,3
243,192,188,303,1
163,185,147,192,3
28,310,336,147,1
163,66,310,192,0
254,345,241,147,4
147,83,241,258,0
147,78,241,243,0
219,243,243,272,0
303,243,267,185,1
241,336,321,303,0
138,283,267,147,1
345,345,243,163,1
185,241,254,219,1
258,294,243,78,1
241,61,283,147,2
272,294,345,336,0
147,147,163,147,2
241,243,241,243,4
78,303,254,345,1
243,267,83,287,0
272,147,241,163,1
345,219,283,243,1
147,243,243,147,1
336,243,147,241,2
287,61,303,138,4
345,241,185,282,3
243,163,147,61,0
272,283,241,345,3
147,219,243,345,1
305,164,206,67,1
326,243,243,163,3
13,205,87,183,1
78,138,303,241,2
243,243,267,183,1
241,78,163,283,3
287,147,232,287,0
303,310,321,188,4
141,132,187,243,0
241,345,303,243,4
290,227,290,163,1
158,163,232,109,4
21,232,115,241,3
267,141,14,163,0
241,205,267,287,0
224,227,164,243,1
283,163,303,141,4
163,243,321,163,2
241,142,188,232,1
158,303,135,303,1
163,305,187,138,2
241,163,132,243,1
147,290,147,243,2
14,78,232,232,2
183,290,115,241,3
78,326,206,87,1
21,287,141,183,1
267,67,13,243,1
287,241,227,109,0
243,303,321,205,3
283,142,224,267,3
163,310,164,163,0
241,163,345,141,1
187,163,163,326,2
303,243,232,147,3
183,135,243,241,1
188,243,14,267,0
183,141,13,78,1
87,241,147,305,2
243,138,206,132,0
243,290,232,78,0
115,163,21,290,0
321,147,142,163,4
205,227,283,115,0
163,267,187,287,4
241,141,243,303,2
135,188,287,326,4
67,241,163,243,1
163,164,303,147,4
224,163,158,310,1
243,21,109,241,3
243,303,290,183,3
305,163,267,78,2
13,232,243,206,0
138,87,290,241,0
132,183,14,78,0
163,205,163,142,0
287,163,241,163,0
147,326,67,267,4
243,241,287,321,2
187,232,227,147,4
164,188,141,241,1
132,303,115,135,1
183,283,163,138,2
243,267,303,224,0
13,163,345,243,3
287,188,163,243,1
163,303,232,243,1
205,147,227,241,2
287,267,163,241,0
287,303,188,227,0
78,267,163,163,4
163,163,163,163,2
303,147,310,147,4
163,283,142,267,4
303,211,4,58,4
163,58,143,115,3
58,208,329,163,4
287,214,147,214,3
163,188,58,58,3
241,203,163,185,2
163,163,163,163,4
163,163,163,203,0
147,192,163,290,1
147,243,78,243,0
192,305,163,127,4
78,303,338,163,3
214,163,163,192,4
115,147,58,163,0
78,163,58,188,4
163,142,211,192,4
127,303,58,163,1
267,163,78,329,4
4,267,283,208,1
58,310,163,163,0
303,163,163,147,4
185,338,163,163,4
203,163,243,163,3
305,163,163,147,0
163,163,163,78,0
58,147,143,147,1
243,290,203,287,0
303,163,214,241,1
163,115,267,267,4
329,58,303,147,4
163,163,305,142,0
163,163,243,163,0
147,192,147,163,3
310,163,58,4,1
211,163,163,78,4
163,58,163,163,0
188,338,163,58,1
185,208,163,163,3
127,283,163,78,2
214,192,163,303,4
147,58,163,163,2
203,203,147,303,2
287,163,243,241,0
290,143,214,78,0
147,115,305,163,0
163,303,163,192,4
163,147,163,267,4
290,163,58,214,0
163,163,211,287,4
163,147,243,163,0
58,163,338,303,0
163,147,241,283,0
147,192,329,163,0
163,208,188,267,0
142,78,163,163,2
163,163,163,78,2
4,243,58,127,2
214,203,163,163,1
203,303,78,58,0
115,290,303,163,3
163,58,267,214,2
163,147,163,163,2
163,163,192,147,0
163,267,163,163,2
241,185,176,178,3
192,157,93,321,3
163,318,243,214,1
178,321,318,287,4
176,243,147,192,2
214,185,310,93,2
321,310,241,185,3
287,178,147,185,0
305,124,267,141,0
303,93,147,78,3
267,163,243,203,3
241,303,321,335,0
58,163,13,321,2
164,93,272,239,0
93,163,243,83,1
163,242,211,163,4
316,61,218,163,3
303,33,163,147,0
203,78,243,303,3
93,163,118,241,1
321,164,163,305,2
69,13,211,241,4
158,163,303,267,1
335,217,147,147,4
321,243,33,124,3
241,93,303,58,1
239,147,243,316,3
303,93,163,83,4
305,163,203,163,1
13,78,272,241,3
243,93,164,241,2
211,336,118,321,3
158,217,163,93,4
147,61,163,147,4
141,267,58,239,4
267,33,243,303,2
